Year;Season;Tavg;Tavg_SE;Pr_sum;Sn_avg;Sn_avg_SE;Duration;start;Tavg_roll_mean;Pr_sum_roll_mean;Sn_avg_roll_mean;Duration_roll_mean;start_roll_mean
1992;Winter;-16,531177355394501;1,095442320351550;174,7;41,71400246137016410;1,13138212870421873;174;301;-18,02817553182694610;178,6600000000000;45,3568494675168310;159,6000000000000;301,6000000000000
1993;Autumn;-1,768750000000000;0,910664535289111;32,3;4,18750000000000000;1,02558418312036514;16;278;-1,65510457523090215;42,2900000000000;3,2859458094978882;23,9000000000000;276,1000000000000
1993;Spring;-3,149122807017544;0,894396097090145;45,0;22,56140350877193157;2,45294278074853311;57;84;-1,20937999752492176;41,0300000000000;30,1680039754112812;43,5000000000000;95,4000000000000
1993;Summer;12,929197080291971;0,545335386091213;188,8;0,04379562043795621;0,03085411653156759;137;141;12,34816392024935894;221,7600000000000;0,3298413979109950;137,2000000000000;138,9000000000000
1993;Winter;-16,657046367287329;0,948750642801568;180,2;34,63426433004746485;1,13853554060422435;149;294;-18,15922361190982670;174,2600000000000;42,3411055169354924;159,1000000000000;300,0000000000000
1994;Autumn;2,716666666666667;0,632331396633982;13,4;0,00000000000000000;0,00000000000000000;24;272;-0,86997637010269691;38,4100000000000;2,4474842710363500;23,7000000000000;275,7000000000000
1994;Spring;1,390625000000000;0,631599980831452;43,5;15,53125000000000000;3,33299256910749886;32;112;-1,42831749752492176;44,1700000000000;30,5161289754112808;44,7000000000000;94,8000000000000
1994;Summer;13,605468750000000;0,575327607581507;192,6;0,00000000000000000;0,00000000000000000;128;144;12,38414557785805492;225,5700000000000;0,3291167602298355;136,2000000000000;139,5000000000000
1994;Winter;-17,502102102102100;1,181052670518102;162,7;40,04729729729729826;1,12085061426979649;183;296;-18,33718641674763106;172,6700000000000;42,7918669926969670;160,1000000000000;299,4000000000000
1995;Autumn;-1,709090909090909;0,775236567466467;83,9;4,93939393939393945;1,05163958743236408;33;272;-1,00676781395296433;45,3900000000000;2,8473060179169201;25,3000000000000;274,8000000000000
1995;Spring;1,358333333333333;0,407529241579444;24,5;29,75000000000000000;4,16689715674548644;48;86;-1,35786877957620389;43,3800000000000;32,2501033343856420;45,6000000000000;93,2000000000000
1995;Summer;11,698550724637681;0,494413930180522;188,2;0,01449275362318841;0,01021045468064204;138;134;12,31778636460753695;215,2200000000000;0,3305660355921544;136,0000000000000;138,8000000000000
1995;Winter;-17,797268907563026;1,243732199958744;199,3;53,56596638655462073;1,52453544913440409;155;305;-17,74767568374155857;178,0200000000000;44,0308094043912774;159,0000000000000;300,1000000000000
1996;Autumn;0,740000000000000;0,340309456694623;17,5;0,10000000000000001;0,06882472016116853;20;272;-1,13750465605822737;43,3200000000000;2,8257270705484991;25,4000000000000;274,5000000000000
1996;Spring;-0,119047619047619;0,483781538693309;37,9;30,42857142857142705;4,00408369608201298;42;108;-0,75849149019891438;43,4600000000000;30,1903963746786808;45,9000000000000;95,2000000000000
1996;Summer;11,828688524590165;0,626619543184773;132,5;0,00000000000000000;0,00000000000000000;122;150;12,30984440625574194;194,5400000000000;0,1298903599164787;133,4000000000000;141,1000000000000
1996;Winter;-16,061268576681478;0,899507495809889;195,6;49,21158265665696518;1,17343964766459452;168;292;-17,52896481321498001;179,8500000000000;45,2113490087993668;160,3000000000000;299,9000000000000
1997;Autumn;-0,620512820512821;0,621762106625911;72,1;1,25641025641025639;0,35181800579420375;39;273;-1,27527022382379518;48,4700000000000;2,9370823819038105;27,9000000000000;274,4000000000000
1997;Spring;2,806896551724138;0,533229103398715;14,5;16,00000000000000000;4,26810833607500051;29;94;-0,71380183502650052;37,8100000000000;30,9285781928604990;43,3000000000000;94,6000000000000
1997;Summer;10,122666666666667;0,373184070513082;161,9;0,02000000000000000;0,02000000000000000;150;123;12,03387577880476300;198,5500000000000;0,1318903599164787;136,5000000000000;137,9000000000000
1997;Winter;-17,649978494623653;1,117134824535962;188,3;43,46903225806451587;1,32695361769700715;168;312;-17,44111544045512119;180,5100000000000;46,1149441537977367;160,0000000000000;302,3000000000000
1998;Autumn;-2,966666666666667;0,584711575276757;35,5;6,36363636363636331;1,19723338100599319;33;262;-1,33907974763331916;48,8900000000000;3,1341603039817327;28,4000000000000;272,7000000000000
1998;Spring;-3,955319148936170;0,731337707790742;42,4;45,42553191489361808;2,66729683672784645;47;92;-0,84211152769789532;37,3900000000000;29,6183536065720823;44,4000000000000;94,0000000000000
1998;Summer;12,950406504065041;0,540598064004054;142,9;0,14634146341463414;0,07971939227461483;123;139;12,24505436024574934;189,0400000000000;0,1010072648786318;134,3000000000000;138,4000000000000
1998;Winter;-21,727136752136751;1,287880555052095;154,2;41,57488807488807936;0,96559830680068037;145;295;-17,69808565809544376;175,7000000000000;44,8073721629783250;157,0000000000000;301,1000000000000
1999;Autumn;-2,180487804878049;0,838816090138685;63,3;7,19512195121951237;1,27748777484252285;41;269;-1,60289775889035480;51,9500000000000;3,7882878837190685;29,9000000000000;272,7000000000000
1999;Spring;-1,926470588235294;1,175464476206011;30,5;48,08823529411764497;3,42746785729068870;34;96;-0,47527140703424531;37,5900000000000;29,0579463667530788;43,9000000000000;94,7000000000000
1999;Summer;11,875539568345324;0,474445323350268;128,2;0,00719424460431655;0,00719424460431655;139;130;12,30558704048453755;175,4600000000000;0,0343508028142408;134,1000000000000;138,6000000000000
1999;Winter;-21,090274277242401;1,150007688624552;144,3;53,65085248332097478;1,28256919319201090;166;310;-18,43892747975907653;173,0300000000000;45,9192755931286030;158,8000000000000;302,6000000000000
2000;Autumn;-3,084210526315790;0,975594987991659;50,1;3,50000000000000000;0,75690280037640156;38;268;-1,13825758703213786;47,5600000000000;3,3199205367802929;28,8000000000000;271,8000000000000
2000;Spring;-2,289130434782609;0,733117413936606;54,5;40,91304347826086740;3,00833400970830622;46;87;-0,51527140703424523;39,5600000000000;29,7079463667530774;43,9000000000000;95,2000000000000
2000;Summer;13,152592592592592;0,412658773409844;226,2;0,10370370370370370;0,06672805968701320;135;133;12,38970536014648083;176,1900000000000;0,0359963409698460;132,7000000000000;139,1000000000000
2000;Winter;-18,796366279069765;1,310981359407889;112,7;44,22342192691029794;1,04136808506599121;142;306;-18,46642100211919058;163,7600000000000;45,7327671511473994;157,8000000000000;300,6000000000000
2001;Autumn;-4,364285714285715;0,741338241635328;51,3;14,85714285714285765;0,92969000595932516;28;284;-1,38040044417499486;49,7700000000000;4,3699205367802927;30,2000000000000;272,1000000000000
2001;Spring;-5,275000000000000;1,051046656468719;15,9;60,21428571428571530;1,47766183713090316;28;95;-0,99994121835500005;36,4600000000000;33,0520164476156140;41,4000000000000;95,8000000000000
2001;Summer;12,003726708074534;0,491416137331785;321,2;2,06211180124223592;0,67190106679139783;161;123;12,29763198778846700;183,5000000000000;0,2414880966336380;134,9000000000000;137,2000000000000
2001;Winter;-24,964361702127661;1,295727580805838;144,1;45,61963725148238780;0,90977120826197133;155;312;-18,87769808142286720;165,6100000000000;44,7710945126592748;160,5000000000000;302,3000000000000
2002;Autumn;-2,136585365853659;0,606808485253077;57,1;8,51219512195121908;1,18944645417137984;41;267;-1,53739231409369426;47,6500000000000;5,0911400489754151;31,3000000000000;271,7000000000000
2002;Spring;-6,880645161290323;0,998628988004613;35,5;57,64516129032258362;2,79609313957133354;62;69;-1,80388808742520879;34,4200000000000;36,6557482629223799;42,5000000000000;92,3000000000000
2002;Summer;12,938970588235295;0,500893724996500;259,5;0,01470588235294118;0,01470588235294118;136;131;12,31058077074992774;194,2000000000000;0,2412345469378976;136,9000000000000;134,8000000000000
2002;Winter;-17,594798474945534;1,334713772128300;200,3;48,01633986928104036;1,32582977508923250;122;308;-18,98406019337797090;168,1700000000000;45,4013282534503659;155,3000000000000;303,0000000000000
2003;Autumn;-0,605555555555556;0,924590431220614;19,5;0,38888888888888890;0,24439987710180699;18;278;-1,42107286964924961;46,3700000000000;4,7112789378643036;31,5000000000000;271,7000000000000
2003;Spring;-2,931250000000000;1,006053293402823;14,8;55,37500000000000000;1,02824688993775548;16;107;-1,78210080672345428;31,4000000000000;39,9371079120451853;38,4000000000000;94,6000000000000
2003;Summer;12,260000000000000;0,470377291986005;141,8;2,10967741935483888;0,72107352251999035;155;123;12,24366106272072940;189,5000000000000;0,4478227268295859;138,7000000000000;133,0000000000000
2003;Winter;-18,784238776837995;1,089545096336770;196,8;45,77651268705270127;1,18928095481927176;164;296;-19,19677943433303824;169,8300000000000;46,5155530891508846;156,8000000000000;303,2000000000000
2004;Autumn;-4,109090909090909;0,756471852520359;80,6;9,88636363636363669;1,42323512202645963;44;281;-2,10364862722500723;53,0900000000000;5,6999153015006669;33,5000000000000;272,6000000000000
2004;Spring;-5,374193548387097;0,869581134391113;5,6;63,06451612903225623;0,70319621127425613;31;93;-2,45858266156216398;27,6100000000000;44,6904345249484081;38,3000000000000;92,7000000000000
2004;Summer;11,057324840764331;0,476662792534462;248,1;3,29936305732484092;0,92236908930544859;157;124;11,98884667179716246;195,0500000000000;0,7777590325620700;141,6000000000000;131,0000000000000
2004;Winter;-17,730993788819873;1,050846434415057;231,6;51,05077639751552709;1,16232386984593461;162;325;-19,21966860300481272;176,7200000000000;47,6159009991727089;154,7000000000000;306,1000000000000
2005;Autumn;-0,044893483709273;0,740566925842119;52,6;2,95194508009153322;0,62584266797442145;19;283;-1,93722888468684373;49,9600000000000;5,5011704155704271;32,1000000000000;273,7000000000000
